Source File:- C:\Cubus Projects\vi_F4016_Lastkollektiv\Data\Test Run - 32\Prüfablauf - (1 von 1)\F4016_1_Ueberlast_frueh_#6.qtpd
Cycle	Peak Time [s]	Zylinder 2 Weg  [mm] Peak	Zylinder 2 Kraft  [kN] Peak	Trough Time	Zylinder 2 Weg  [mm] Trough	Zylinder 2 Kraft  [kN] Trough	
1	243347,662	6,131	-0,708	243356,625	5,747	-45,518	
2	243356,636	5,750	-45,195	243356,658	5,742	-46,035	
3	243356,681	5,755	-44,465	243356,705	5,737	-46,805	
4	243356,729	5,761	-43,734	243356,754	5,731	-47,504	
5	243356,778	5,767	-42,993	243356,804	5,726	-48,204	
6	243356,828	5,772	-42,274	243356,853	5,721	-48,802	
7	243356,878	5,778	-41,536	243356,903	5,716	-49,469	
8	243356,928	5,784	-40,768	243356,953	5,710	-50,298	
9	243356,977	5,790	-40,014	243357,003	5,704	-50,957	
10	243357,028	5,795	-39,281	243357,052	5,697	-51,869	
11	243357,077	5,801	-38,572	243357,103	5,690	-52,647	
12	243357,127	5,806	-37,823	243357,152	5,683	-53,572	
13	243357,177	5,812	-37,067	243357,202	5,676	-54,388	
14	243357,227	5,818	-36,287	243357,252	5,670	-55,294	
15	243357,277	5,824	-35,530	243357,302	5,663	-56,101	
16	243357,327	5,829	-34,734	243357,352	5,656	-57,011	
17	243357,377	5,836	-33,905	243357,402	5,649	-57,788	
18	243357,427	5,842	-33,068	243357,452	5,642	-58,711	
19	243357,477	5,848	-32,272	243357,502	5,636	-59,461	
20	243357,527	5,855	-31,444	243357,552	5,630	-60,306	
21	243357,577	5,861	-30,593	243357,602	5,624	-61,017	
22	243357,627	5,868	-29,787	243357,652	5,617	-61,869	
23	243357,677	5,874	-28,979	243357,702	5,612	-62,498	
24	243357,727	5,880	-28,151	243357,752	5,605	-63,389	
25	243357,777	5,886	-27,337	243357,802	5,599	-64,146	
26	243357,826	5,893	-26,502	243357,852	5,592	-65,061	
27	243357,876	5,899	-25,703	243357,902	5,586	-65,802	
28	243357,927	5,905	-24,927	243357,952	5,579	-66,672	
29	243357,977	5,911	-24,103	243358,002	5,573	-67,467	
30	243358,027	5,917	-23,313	243358,052	5,566	-68,365	
31	243358,077	5,924	-22,478	243358,102	5,559	-69,118	
32	243358,127	5,930	-21,657	243358,152	5,553	-70,026	
33	243358,177	5,937	-20,815	243358,202	5,546	-70,796	
34	243358,227	5,944	-19,934	243358,252	5,539	-71,666	
35	243358,277	5,954	-18,549	243358,302	5,532	-72,407	
36	243358,326	5,979	-15,623	243358,352	5,526	-73,278	
37	243358,376	5,994	-13,815	243358,401	5,520	-74,009	
38	243358,427	6,005	-12,529	243358,451	5,513	-74,902	
39	243358,477	6,013	-11,565	243358,501	5,507	-75,695	
40	243358,526	6,020	-10,700	243358,551	5,499	-76,600	
41	243358,576	6,027	-9,845	243358,601	5,492	-77,404	
42	243358,626	6,034	-9,029	243358,651	5,486	-78,286	
43	243358,676	6,040	-8,242	243358,701	5,479	-79,069	
44	243358,726	6,047	-7,423	243358,751	5,472	-79,931	
45	243358,776	6,053	-6,716	243358,801	5,465	-80,761	
46	243358,826	6,059	-5,981	243358,851	5,458	-81,607	
47	243358,876	6,064	-5,372	243358,901	5,452	-82,410	
48	243358,926	6,071	-4,645	243358,951	5,445	-83,324	
49	243358,976	6,076	-4,008	243359,001	5,438	-84,118	
50	243359,026	6,082	-3,368	243359,051	5,431	-85,018	
51	243359,076	6,088	-2,665	243359,101	5,424	-85,766	
52	243359,126	6,092	-2,235	243359,151	5,417	-86,678	
53	243359,176	6,089	-2,379	243359,201	5,413	-87,031	
54	243359,226	6,088	-2,450	243359,251	5,413	-87,067	
55	243359,276	6,087	-2,526	243359,301	5,412	-87,151	
56	243359,326	6,086	-2,620	243359,351	5,411	-87,300	
57	243359,376	6,086	-2,627	243359,401	5,410	-87,294	
58	243359,426	6,086	-2,644	243359,451	5,409	-87,442	
59	243359,476	6,085	-2,770	243359,501	5,409	-87,446	
60	243359,526	6,083	-2,872	243359,551	5,409	-87,505	
61	243359,576	6,084	-2,784	243359,601	5,408	-87,544	
62	243359,626	6,084	-2,787	243359,651	5,408	-87,527	
63	243359,676	6,083	-2,827	243359,701	5,408	-87,574	
64	243359,726	6,084	-2,828	243359,751	5,407	-87,597	
65	243359,776	6,083	-2,859	243359,801	5,408	-87,570	
66	243359,826	6,083	-2,863	243359,851	5,407	-87,618	
67	243359,876	6,083	-2,892	243359,901	5,407	-87,614	
68	243359,926	6,082	-2,931	243359,951	5,407	-87,596	
69	243359,976	6,083	-2,870	243360,001	5,407	-87,644	
70	243360,026	6,081	-2,928	243360,051	5,407	-87,628	
71	243360,076	6,082	-2,924	243360,101	5,407	-87,599	
72	243360,126	6,081	-2,933	243360,151	5,407	-87,619	
73	243360,176	6,081	-2,896	243360,201	5,406	-87,632	
74	243360,226	6,080	-3,035	243360,251	5,406	-87,708	
75	243360,276	6,081	-2,964	243360,301	5,406	-87,660	
76	243360,326	6,081	-2,987	243360,351	5,406	-87,766	
77	243360,376	6,080	-3,019	243360,401	5,405	-87,747	
78	243360,426	6,080	-3,051	243360,451	5,405	-87,801	
79	243360,476	6,079	-3,165	243360,501	5,405	-87,876	
80	243360,526	6,079	-3,160	243360,551	5,404	-87,885	
81	243360,576	6,079	-3,149	243360,601	5,404	-87,912	
82	243360,626	6,079	-3,125	243360,651	5,404	-87,927	
83	243360,676	6,078	-3,236	243360,701	5,404	-87,927	
84	243360,726	6,079	-3,145	243360,751	5,404	-87,958	
85	243360,776	6,078	-3,257	243360,801	5,404	-87,958	
86	243360,826	6,078	-3,198	243360,851	5,404	-88,008	
87	243360,876	6,078	-3,243	243360,901	5,404	-87,925	
88	243360,926	6,079	-3,160	243360,951	5,403	-88,003	
89	243360,976	6,079	-3,206	243361,001	5,404	-87,975	
90	243361,026	6,078	-3,184	243361,051	5,403	-87,935	
91	243361,076	6,078	-3,242	243361,101	5,403	-87,959	
92	243361,126	6,077	-3,257	243361,151	5,403	-87,997	
93	243361,176	6,078	-3,199	243361,201	5,403	-87,980	
94	243361,226	6,078	-3,231	243361,251	5,403	-87,950	
95	243361,276	6,078	-3,210	243361,301	5,404	-87,913	
96	243361,326	6,079	-3,127	243361,351	5,404	-87,929	
97	243361,376	6,078	-3,213	243361,401	5,404	-87,905	
98	243361,426	6,079	-3,127	243361,451	5,404	-87,904	
99	243361,476	6,078	-3,233	243361,501	5,404	-87,894	
100	243361,526	6,079	-3,146	243361,551	5,404	-87,861	
101	243361,576	6,078	-3,188	243361,601	5,404	-87,912	
102	243361,626	6,078	-3,213	243361,651	5,404	-87,896	
103	243361,676	6,077	-3,292	243361,701	5,404	-87,858	
104	243361,726	6,078	-3,187	243361,751	5,404	-87,891	
105	243361,776	6,078	-3,211	243361,801	5,404	-87,845	
106	243361,826	6,078	-3,170	243361,851	5,404	-87,844	
107	243361,876	6,078	-3,234	243361,901	5,404	-87,898	
108	243361,926	6,078	-3,191	243361,951	5,404	-87,870	
109	243361,976	6,077	-3,237	243362,001	5,403	-87,981	
110	243362,026	6,078	-3,240	243362,051	5,403	-87,988	
111	243362,076	6,077	-3,317	243362,101	5,403	-87,918	
112	243362,126	6,077	-3,327	243362,151	5,403	-88,003	
113	243362,176	6,077	-3,231	243362,201	5,403	-87,976	
114	243362,226	6,078	-3,229	243362,251	5,403	-87,990	
115	243362,276	6,077	-3,301	243362,301	5,403	-88,023	
116	243362,326	6,077	-3,258	243362,351	5,402	-88,082	
117	243362,376	6,077	-3,321	243362,401	5,403	-88,019	
118	243362,426	6,077	-3,269	243362,451	5,402	-88,054	
119	243362,476	6,076	-3,289	243362,501	5,402	-88,033	
120	243362,526	6,076	-3,349	243362,551	5,402	-88,073	
121	243362,576	6,077	-3,289	243362,601	5,403	-88,068	
122	243362,626	6,076	-3,320	243362,651	5,402	-88,035	
123	243362,676	6,076	-3,379	243362,701	5,402	-88,068	
124	243362,726	6,076	-3,365	243362,751	5,402	-88,023	
125	243362,776	6,077	-3,323	243362,801	5,403	-88,007	
126	243362,826	6,077	-3,289	243362,851	5,403	-88,032	
127	243362,876	6,076	-3,299	243362,901	5,402	-88,068	
128	243362,926	6,077	-3,318	243362,951	5,402	-88,091	
129	243362,976	6,076	-3,308	243363,001	5,402	-88,031	
130	243363,026	6,077	-3,278	243363,051	5,402	-88,029	
131	243363,076	6,076	-3,380	243363,101	5,402	-88,030	
132	243363,126	6,076	-3,312	243363,151	5,402	-88,042	
133	243363,176	6,077	-3,272	243363,201	5,402	-87,970	
134	243363,226	6,077	-3,264	243363,251	5,402	-88,038	
135	243363,276	6,076	-3,318	243363,301	5,402	-88,035	
136	243363,326	6,077	-3,261	243363,351	5,403	-88,031	
137	243363,376	6,077	-3,292	243363,401	5,402	-88,024	
138	243363,426	6,077	-3,198	243363,451	5,403	-87,945	
139	243363,476	6,077	-3,331	243363,501	5,403	-87,966	
140	243363,526	6,077	-3,265	243363,551	5,402	-88,017	
141	243363,576	6,076	-3,326	243363,601	5,403	-87,915	
142	243363,626	6,077	-3,196	243363,651	5,403	-88,014	
143	243363,676	6,077	-3,251	243363,701	5,403	-87,958	
144	243363,726	6,077	-3,273	243363,751	5,403	-87,958	
145	243363,776	6,077	-3,234	243363,801	5,403	-87,960	
146	243363,826	6,078	-3,198	243363,851	5,403	-87,945	
147	243363,876	6,077	-3,272	243363,901	5,403	-87,923	
148	243363,926	6,077	-3,211	243363,951	5,403	-87,949	
149	243363,976	6,078	-3,217	243364,001	5,403	-87,927	
150	243364,026	6,077	-3,206	243364,051	5,403	-87,943	
151	243364,076	6,077	-3,235	243364,101	5,403	-87,933	
152	243364,126	6,077	-3,221	243364,151	5,403	-87,890	
153	243364,176	6,077	-3,280	243364,201	5,403	-87,972	
154	243364,226	6,078	-3,208	243364,251	5,403	-87,941	
155	243364,276	6,077	-3,233	243364,301	5,403	-87,962	
156	243364,326	6,077	-3,187	243364,351	5,403	-87,933	
157	243364,376	6,077	-3,309	243364,401	5,402	-88,026	
158	243364,426	6,077	-3,206	243364,451	5,403	-87,961	
159	243364,476	6,077	-3,246	243364,501	5,403	-87,970	
160	243364,526	6,076	-3,296	243364,551	5,402	-88,038	
161	243364,576	6,076	-3,364	243364,601	5,402	-88,051	
162	243364,626	6,077	-3,261	243364,651	5,402	-87,982	
163	243364,676	6,076	-3,365	243364,701	5,401	-88,052	
164	243364,726	6,077	-3,285	243364,751	5,403	-87,983	
165	243364,776	6,076	-3,347	243364,801	5,402	-88,024	
166	243364,826	6,077	-3,224	243364,851	5,402	-88,048	
167	243364,876	6,077	-3,318	243364,901	5,402	-88,060	
168	243364,926	6,076	-3,302	243364,951	5,402	-88,071	
169	243364,976	6,077	-3,312	243365,001	5,402	-88,027	
170	243365,026	6,076	-3,287	243365,051	5,402	-88,038	
171	243365,076	6,077	-3,290	243365,101	5,402	-88,066	
172	243365,126	6,076	-3,250	243365,151	5,402	-88,011	
173	243365,176	6,077	-3,280	243365,201	5,402	-88,027	
174	243365,226	6,076	-3,273	243365,251	5,402	-88,068	
175	243365,276	6,076	-3,292	243365,301	5,402	-88,045	
176	243365,326	6,077	-3,230	243365,351	5,403	-88,017	
177	243365,376	6,076	-3,393	243365,401	5,402	-88,069	
178	243365,426	6,076	-3,308	243365,451	5,402	-88,027	
179	243365,476	6,076	-3,318	243365,501	5,402	-88,034	
180	243365,526	6,077	-3,217	243365,551	5,402	-88,001	
181	243365,576	6,076	-3,293	243365,601	5,402	-88,046	
182	243365,626	6,077	-3,228	243365,651	5,402	-88,076	
183	243365,676	6,076	-3,335	243365,701	5,402	-88,038	
184	243365,726	6,076	-3,278	243365,751	5,402	-87,989	
185	243365,776	6,077	-3,257	243365,801	5,402	-88,035	
186	243365,826	6,077	-3,223	243365,851	5,402	-88,041	
187	243365,876	6,077	-3,289	243365,901	5,402	-87,993	
188	243365,926	6,077	-3,196	243365,951	5,403	-87,955	
189	243365,976	6,077	-3,242	243366,001	5,402	-88,018	
190	243366,026	6,077	-3,178	243366,051	5,402	-88,035	
191	243366,076	6,077	-3,291	243366,101	5,402	-87,961	
192	243366,126	6,077	-3,237	243366,151	5,402	-87,989	
193	243366,176	6,077	-3,226	243366,201	5,402	-87,955	
194	243366,226	6,077	-3,178	243366,251	5,403	-87,943	
195	243366,276	6,077	-3,237	243366,301	5,403	-87,909	
196	243366,326	6,077	-3,227	243366,351	5,403	-87,936	
197	243366,376	6,077	-3,215	243366,401	5,402	-87,949	
198	243366,426	6,078	-3,134	243366,451	5,402	-87,984	
199	243366,476	6,077	-3,227	243366,501	5,403	-87,930	
200	243366,526	6,077	-3,205	243366,551	5,402	-87,972	
201	243366,576	6,077	-3,208	243366,601	5,402	-87,983	
202	243366,626	6,077	-3,181	243366,651	5,403	-87,916	
203	243366,676	6,077	-3,254	243366,701	5,402	-87,974	
204	243366,726	6,078	-3,141	243366,751	5,402	-87,969	
205	243366,776	6,077	-3,240	243366,801	5,402	-87,961	
206	243366,826	6,077	-3,205	243366,851	5,403	-87,939	
207	243366,876	6,076	-3,235	243366,901	5,402	-87,972	
208	243366,926	6,077	-3,179	243366,951	5,403	-87,859	
209	243366,976	6,078	-3,196	243367,001	5,402	-88,000	
210	243367,026	6,077	-3,176	243367,051	5,402	-87,961	
211	243367,076	6,078	-3,143	243367,101	5,402	-87,973	
212	243367,126	6,078	-3,113	243367,151	5,403	-87,904	
213	243367,176	6,078	-3,153	243367,201	5,402	-87,994	
214	243367,226	6,077	-3,166	243367,251	5,402	-87,962	
215	243367,276	6,077	-3,211	243367,301	5,403	-87,965	
216	243367,326	6,078	-3,113	243367,351	5,402	-87,976	
217	243367,376	6,077	-3,227	243367,401	5,402	-87,975	
218	243367,426	6,078	-3,109	243367,451	5,402	-87,957	
219	243367,476	6,077	-3,200	243367,501	5,402	-88,026	
220	243367,526	6,077	-3,138	243367,551	5,402	-87,947	
221	243367,576	6,078	-3,137	243367,601	5,403	-87,953	
222	243367,626	6,077	-3,168	243367,651	5,402	-88,005	
223	243367,676	6,077	-3,172	243367,701	5,402	-88,004	
224	243367,726	6,077	-3,165	243367,751	5,402	-87,973	
225	243367,776	6,077	-3,218	243367,801	5,402	-88,040	
226	243367,826	6,077	-3,157	243367,851	5,402	-87,990	
227	243367,876	6,077	-3,178	243367,901	5,402	-88,046	
228	243367,926	6,077	-3,162	243367,951	5,402	-87,993	
229	243367,976	6,077	-3,265	243368,001	5,401	-88,072	
230	243368,026	6,077	-3,149	243368,051	5,402	-88,021	
231	243368,076	6,077	-3,208	243368,101	5,402	-88,027	
232	243368,126	6,077	-3,186	243368,151	5,403	-87,931	
233	243368,176	6,076	-3,240	243368,201	5,402	-88,071	
234	243368,226	6,077	-3,259	243368,251	5,402	-88,009	
235	243368,276	6,077	-3,287	243368,301	5,402	-88,091	
236	243368,326	6,077	-3,209	243368,351	5,402	-88,016	
237	243368,376	6,076	-3,293	243368,401	5,401	-88,074	
238	243368,426	6,076	-3,260	243368,451	5,401	-88,067	
239	243368,476	6,076	-3,223	243368,501	5,402	-88,093	
240	243368,526	6,076	-3,253	243368,551	5,401	-88,033	
241	243368,576	6,076	-3,238	243368,601	5,401	-88,194	
242	243368,626	6,077	-3,227	243368,651	5,401	-88,105	
243	243368,676	6,076	-3,241	243368,701	5,401	-88,139	
244	243368,726	6,077	-3,261	243368,751	5,402	-88,047	
245	243368,776	6,076	-3,266	243368,801	5,401	-88,126	
246	243368,826	6,077	-3,234	243368,851	5,401	-88,108	
247	243368,876	6,076	-3,285	243368,901	5,401	-88,144	
248	243368,926	6,077	-3,247	243368,951	5,401	-88,095	
249	243368,976	6,077	-3,241	243369,001	5,401	-88,082	
250	243369,026	6,076	-3,334	243369,051	5,401	-88,061	
251	243369,076	6,077	-3,216	243369,101	5,402	-88,102	
252	243369,126	6,077	-3,218	243369,151	5,401	-88,101	
253	243369,176	6,076	-3,276	243369,201	5,401	-88,150	
254	243369,226	6,076	-3,247	243369,251	5,401	-88,128	
255	243369,276	6,075	-3,344	243369,301	5,402	-88,089	
256	243369,326	6,076	-3,258	243369,351	5,402	-88,091	
257	243369,376	6,076	-3,270	243369,401	5,402	-88,064	
258	243369,426	6,076	-3,252	243369,451	5,401	-88,073	
259	243369,476	6,076	-3,276	243369,501	5,402	-88,051	
260	243369,526	6,077	-3,178	243369,551	5,402	-88,014	
261	243369,576	6,077	-3,168	243369,601	5,401	-88,074	
262	243369,626	6,076	-3,282	243369,651	5,401	-88,020	
263	243369,676	6,077	-3,202	243369,701	5,402	-88,051	
264	243369,726	6,076	-3,215	243369,751	5,402	-88,023	
265	243369,776	6,077	-3,174	243369,801	5,401	-88,087	
266	243369,826	6,077	-3,212	243369,851	5,402	-87,992	
267	243369,876	6,077	-3,218	243369,901	5,402	-88,054	
268	243369,926	6,077	-3,159	243369,951	5,402	-88,019	
269	243369,976	6,077	-3,191	243370,001	5,401	-88,085	
270	243370,026	6,077	-3,199	243370,051	5,402	-88,044	
271	243370,076	6,077	-3,176	243370,101	5,402	-88,067	
272	243370,126	6,077	-3,159	243370,151	5,402	-88,000	
273	243370,176	6,077	-3,194	243370,201	5,401	-88,057	
274	243370,226	6,076	-3,168	243370,251	5,402	-87,969	
275	243370,276	6,077	-3,229	243370,301	5,401	-88,090	
276	243370,326	6,076	-3,241	243370,351	5,402	-87,996	
277	243370,376	6,077	-3,152	243370,401	5,401	-88,081	
278	243370,426	6,077	-3,189	243370,451	5,401	-88,032	
279	243370,476	6,077	-3,158	243370,501	5,401	-88,052	
280	243370,526	6,077	-3,221	243370,551	5,401	-88,065	
281	243370,576	6,077	-3,187	243370,601	5,401	-88,101	
