Source File:- C:\Cubus Projects\vi_F4016_Lastkollektiv\Data\Test Run - 17\Prüfablauf - (1 von 1)\F4016_1_Ueberlast_mittig_#3.qtpd
Cycle	Peak Time [s]	Zylinder 2 Weg  [mm] Peak	Zylinder 2 Kraft  [kN] Peak	Trough Time	Zylinder 2 Weg  [mm] Trough	Zylinder 2 Kraft  [kN] Trough	
1	88563,800	6,135	-1,395	88572,680	5,826	-37,033	
2	88572,695	5,829	-36,765	88572,716	5,823	-37,468	
3	88572,738	5,834	-36,141	88572,763	5,819	-38,033	
4	88572,787	5,837	-35,691	88572,812	5,813	-38,600	
5	88572,837	5,843	-35,025	88572,862	5,809	-39,176	
6	88572,885	5,846	-34,497	88572,911	5,805	-39,710	
7	88572,936	5,851	-33,929	88572,960	5,801	-40,153	
8	88572,985	5,855	-33,390	88573,010	5,798	-40,657	
9	88573,035	5,860	-32,754	88573,060	5,793	-41,217	
10	88573,085	5,864	-32,295	88573,110	5,789	-41,821	
11	88573,135	5,868	-31,627	88573,160	5,784	-42,481	
12	88573,185	5,874	-31,083	88573,210	5,778	-43,105	
13	88573,235	5,877	-30,456	88573,260	5,773	-43,823	
14	88573,285	5,883	-29,911	88573,310	5,768	-44,464	
15	88573,335	5,888	-29,289	88573,360	5,762	-45,132	
16	88573,385	5,893	-28,667	88573,409	5,757	-45,803	
17	88573,434	5,897	-28,023	88573,459	5,752	-46,478	
18	88573,485	5,901	-27,472	88573,509	5,746	-47,153	
19	88573,535	5,906	-26,796	88573,559	5,741	-47,808	
20	88573,584	5,911	-26,206	88573,609	5,736	-48,446	
21	88573,634	5,916	-25,544	88573,659	5,731	-49,111	
22	88573,684	5,922	-24,938	88573,709	5,726	-49,793	
23	88573,734	5,928	-24,241	88573,760	5,719	-50,467	
24	88573,784	5,933	-23,651	88573,809	5,714	-51,071	
25	88573,834	5,938	-22,987	88573,859	5,709	-51,729	
26	88573,884	5,943	-22,391	88573,909	5,703	-52,448	
27	88573,934	5,947	-21,776	88573,959	5,700	-53,110	
28	88573,984	5,953	-21,148	88574,009	5,695	-53,735	
29	88574,034	5,957	-20,495	88574,059	5,690	-54,292	
30	88574,084	5,964	-19,878	88574,109	5,685	-54,875	
31	88574,134	5,968	-19,274	88574,159	5,681	-55,474	
32	88574,184	5,973	-18,672	88574,209	5,675	-56,067	
33	88574,234	5,978	-17,948	88574,259	5,672	-56,708	
34	88574,284	5,984	-17,350	88574,309	5,664	-57,431	
35	88574,334	5,989	-16,676	88574,359	5,660	-58,106	
36	88574,384	5,993	-16,067	88574,409	5,656	-58,692	
37	88574,434	5,999	-15,403	88574,459	5,650	-59,269	
38	88574,484	6,004	-14,774	88574,509	5,645	-59,990	
39	88574,534	6,011	-14,135	88574,559	5,640	-60,627	
40	88574,584	6,015	-13,516	88574,609	5,634	-61,283	
41	88574,634	6,021	-12,825	88574,659	5,629	-61,934	
42	88574,684	6,028	-12,133	88574,709	5,625	-62,523	
43	88574,734	6,037	-10,991	88574,759	5,618	-63,216	
44	88574,784	6,055	-9,029	88574,809	5,614	-63,834	
45	88574,834	6,067	-7,472	88574,859	5,609	-64,471	
46	88574,884	6,082	-5,999	88574,909	5,604	-65,214	
47	88574,934	6,086	-5,449	88574,959	5,598	-65,839	
48	88574,984	6,097	-4,411	88575,009	5,593	-66,593	
49	88575,034	6,102	-3,668	88575,059	5,587	-67,268	
50	88575,084	6,110	-2,952	88575,109	5,583	-67,928	
51	88575,134	6,115	-2,368	88575,159	5,577	-68,664	
52	88575,184	6,120	-1,947	88575,209	5,571	-69,410	
53	88575,234	6,121	-1,844	88575,259	5,568	-69,653	
54	88575,284	6,120	-2,027	88575,309	5,567	-69,711	
55	88575,334	6,119	-2,084	88575,359	5,566	-69,808	
56	88575,384	6,118	-2,134	88575,409	5,566	-69,837	
57	88575,434	6,117	-2,207	88575,459	5,566	-69,890	
58	88575,484	6,117	-2,267	88575,509	5,565	-70,014	
59	88575,534	6,116	-2,309	88575,559	5,564	-70,043	
60	88575,584	6,114	-2,390	88575,609	5,564	-70,010	
61	88575,634	6,114	-2,397	88575,659	5,564	-70,107	
62	88575,684	6,115	-2,449	88575,709	5,563	-70,146	
63	88575,734	6,113	-2,449	88575,759	5,563	-70,186	
64	88575,784	6,112	-2,543	88575,809	5,563	-70,173	
65	88575,834	6,112	-2,504	88575,859	5,563	-70,223	
66	88575,884	6,113	-2,532	88575,909	5,563	-70,247	
67	88575,934	6,112	-2,529	88575,959	5,562	-70,332	
68	88575,984	6,112	-2,568	88576,009	5,563	-70,320	
69	88576,034	6,112	-2,543	88576,059	5,563	-70,327	
70	88576,084	6,112	-2,659	88576,109	5,562	-70,343	
71	88576,134	6,111	-2,684	88576,159	5,562	-70,407	
72	88576,184	6,110	-2,696	88576,209	5,561	-70,400	
73	88576,234	6,111	-2,629	88576,259	5,560	-70,491	
74	88576,284	6,110	-2,728	88576,309	5,562	-70,418	
75	88576,334	6,112	-2,667	88576,359	5,562	-70,481	
76	88576,384	6,111	-2,628	88576,409	5,560	-70,516	
77	88576,434	6,110	-2,685	88576,459	5,560	-70,530	
78	88576,484	6,110	-2,793	88576,509	5,561	-70,455	
79	88576,534	6,110	-2,681	88576,559	5,561	-70,452	
80	88576,584	6,111	-2,715	88576,609	5,560	-70,525	
81	88576,634	6,110	-2,793	88576,659	5,560	-70,560	
82	88576,684	6,109	-2,812	88576,709	5,560	-70,570	
83	88576,734	6,109	-2,850	88576,759	5,560	-70,606	
84	88576,784	6,109	-2,857	88576,809	5,560	-70,539	
85	88576,834	6,110	-2,775	88576,859	5,559	-70,563	
86	88576,884	6,109	-2,874	88576,909	5,560	-70,576	
87	88576,934	6,109	-2,848	88576,959	5,560	-70,605	
88	88576,984	6,109	-2,852	88577,009	5,559	-70,568	
89	88577,034	6,109	-2,828	88577,059	5,560	-70,625	
90	88577,084	6,108	-2,871	88577,109	5,560	-70,641	
91	88577,134	6,110	-2,787	88577,159	5,559	-70,648	
92	88577,184	6,109	-2,908	88577,209	5,559	-70,634	
93	88577,234	6,109	-2,897	88577,259	5,559	-70,704	
94	88577,284	6,110	-2,854	88577,309	5,559	-70,636	
95	88577,334	6,110	-2,790	88577,359	5,559	-70,672	
96	88577,384	6,109	-2,900	88577,409	5,559	-70,665	
97	88577,434	6,108	-2,937	88577,459	5,558	-70,727	
98	88577,484	6,108	-2,855	88577,509	5,559	-70,650	
99	88577,534	6,109	-2,873	88577,559	5,560	-70,685	
100	88577,584	6,108	-2,905	88577,609	5,558	-70,689	
101	88577,634	6,109	-2,865	88577,659	5,559	-70,694	
102	88577,684	6,108	-2,970	88577,709	5,559	-70,702	
103	88577,734	6,108	-2,974	88577,759	5,559	-70,696	
104	88577,784	6,108	-2,900	88577,809	5,559	-70,674	
105	88577,834	6,110	-2,843	88577,859	5,558	-70,712	
106	88577,884	6,107	-2,953	88577,909	5,558	-70,685	
107	88577,934	6,108	-2,836	88577,959	5,558	-70,722	
108	88577,984	6,109	-2,864	88578,009	5,559	-70,726	
109	88578,034	6,108	-2,912	88578,059	5,559	-70,695	
110	88578,084	6,108	-2,917	88578,109	5,559	-70,683	
111	88578,134	6,108	-2,946	88578,159	5,559	-70,718	
112	88578,184	6,109	-2,906	88578,209	5,558	-70,716	
113	88578,234	6,109	-2,883	88578,259	5,558	-70,699	
114	88578,284	6,107	-2,968	88578,309	5,558	-70,693	
115	88578,334	6,107	-2,944	88578,359	5,559	-70,702	
116	88578,384	6,107	-2,950	88578,409	5,560	-70,676	
117	88578,434	6,108	-2,909	88578,459	5,559	-70,727	
118	88578,484	6,108	-2,859	88578,509	5,559	-70,675	
119	88578,534	6,109	-2,910	88578,559	5,560	-70,719	
120	88578,584	6,108	-2,943	88578,609	5,558	-70,690	
121	88578,634	6,108	-2,908	88578,659	5,558	-70,720	
122	88578,684	6,108	-2,935	88578,709	5,559	-70,659	
123	88578,734	6,107	-3,021	88578,759	5,559	-70,771	
124	88578,784	6,109	-2,869	88578,809	5,558	-70,669	
125	88578,834	6,109	-2,891	88578,859	5,559	-70,692	
126	88578,884	6,109	-2,899	88578,909	5,557	-70,774	
127	88578,934	6,108	-3,017	88578,959	5,558	-70,705	
128	88578,984	6,108	-2,994	88579,009	5,558	-70,740	
129	88579,034	6,108	-3,064	88579,059	5,559	-70,675	
130	88579,084	6,108	-2,981	88579,109	5,558	-70,664	
131	88579,134	6,108	-2,959	88579,159	5,558	-70,724	
132	88579,184	6,108	-2,980	88579,209	5,558	-70,697	
133	88579,234	6,109	-2,884	88579,259	5,559	-70,714	
134	88579,284	6,107	-3,019	88579,309	5,559	-70,643	
135	88579,334	6,108	-2,917	88579,359	5,559	-70,755	
136	88579,384	6,109	-2,892	88579,409	5,559	-70,680	
137	88579,434	6,108	-2,947	88579,459	5,559	-70,696	
138	88579,484	6,107	-2,927	88579,509	5,559	-70,719	
139	88579,534	6,109	-2,884	88579,559	5,558	-70,715	
140	88579,584	6,108	-2,980	88579,609	5,558	-70,724	
141	88579,634	6,108	-2,956	88579,659	5,558	-70,723	
142	88579,684	6,108	-2,894	88579,709	5,558	-70,702	
143	88579,734	6,108	-2,876	88579,759	5,558	-70,765	
144	88579,784	6,108	-2,894	88579,809	5,558	-70,683	
145	88579,834	6,109	-2,932	88579,859	5,558	-70,700	
146	88579,884	6,106	-3,027	88579,909	5,559	-70,659	
147	88579,934	6,108	-2,953	88579,959	5,558	-70,692	
148	88579,984	6,108	-2,945	88580,009	5,558	-70,706	
149	88580,034	6,108	-2,960	88580,059	5,558	-70,768	
150	88580,084	6,107	-2,957	88580,109	5,558	-70,678	
151	88580,134	6,107	-2,910	88580,159	5,558	-70,756	
152	88580,184	6,107	-2,975	88580,209	5,559	-70,673	
153	88580,234	6,109	-2,909	88580,259	5,559	-70,766	
154	88580,284	6,109	-2,911	88580,309	5,558	-70,689	
155	88580,334	6,108	-2,915	88580,359	5,557	-70,793	
156	88580,384	6,108	-2,900	88580,409	5,558	-70,724	
157	88580,434	6,107	-2,983	88580,459	5,558	-70,732	
158	88580,484	6,109	-2,925	88580,509	5,559	-70,685	
159	88580,534	6,108	-2,901	88580,559	5,559	-70,736	
160	88580,584	6,108	-2,961	88580,609	5,560	-70,657	
161	88580,634	6,108	-2,924	88580,659	5,557	-70,733	
162	88580,684	6,107	-3,005	88580,709	5,559	-70,694	
163	88580,734	6,109	-2,853	88580,759	5,559	-70,724	
164	88580,784	6,108	-2,907	88580,809	5,559	-70,726	
165	88580,834	6,109	-2,878	88580,859	5,558	-70,755	
166	88580,884	6,107	-2,980	88580,909	5,558	-70,676	
167	88580,934	6,108	-2,925	88580,959	5,559	-70,751	
168	88580,984	6,107	-2,973	88581,009	5,558	-70,700	
169	88581,034	6,107	-2,895	88581,059	5,557	-70,755	
170	88581,084	6,107	-2,949	88581,109	5,558	-70,686	
171	88581,134	6,107	-2,952	88581,159	5,558	-70,739	
172	88581,184	6,108	-2,948	88581,209	5,558	-70,769	
173	88581,234	6,108	-2,961	88581,259	5,558	-70,771	
174	88581,284	6,106	-3,015	88581,309	5,558	-70,753	
175	88581,334	6,108	-2,951	88581,359	5,557	-70,788	
176	88581,384	6,108	-2,901	88581,409	5,558	-70,719	
177	88581,434	6,108	-2,921	88581,459	5,558	-70,777	
178	88581,484	6,108	-2,944	88581,509	5,559	-70,650	
179	88581,534	6,109	-2,893	88581,559	5,559	-70,747	
180	88581,584	6,107	-2,984	88581,609	5,558	-70,625	
181	88581,634	6,108	-3,005	88581,659	5,559	-70,707	
182	88581,684	6,109	-2,857	88581,709	5,559	-70,710	
183	88581,734	6,107	-2,957	88581,759	5,558	-70,767	
184	88581,784	6,108	-2,942	88581,809	5,558	-70,657	
185	88581,834	6,109	-2,841	88581,859	5,559	-70,772	
186	88581,884	6,109	-2,874	88581,909	5,559	-70,725	
187	88581,934	6,107	-3,014	88581,959	5,558	-70,740	
188	88581,984	6,107	-2,976	88582,009	5,558	-70,711	
189	88582,034	6,108	-2,923	88582,059	5,559	-70,759	
190	88582,084	6,107	-2,933	88582,109	5,558	-70,715	
191	88582,134	6,107	-2,979	88582,159	5,558	-70,776	
192	88582,184	6,107	-2,941	88582,209	5,558	-70,685	
193	88582,234	6,107	-2,954	88582,259	5,557	-70,779	
194	88582,284	6,107	-2,977	88582,309	5,558	-70,719	
195	88582,334	6,108	-2,880	88582,359	5,559	-70,706	
196	88582,384	6,107	-2,949	88582,409	5,559	-70,664	
197	88582,434	6,108	-2,935	88582,459	5,557	-70,776	
198	88582,484	6,107	-2,919	88582,509	5,558	-70,683	
199	88582,534	6,108	-2,886	88582,559	5,558	-70,739	
200	88582,584	6,108	-2,909	88582,609	5,559	-70,716	
201	88582,634	6,107	-2,936	88582,659	5,558	-70,741	
202	88582,684	6,108	-2,952	88582,709	5,559	-70,644	
203	88582,734	6,107	-2,942	88582,759	5,559	-70,752	
204	88582,784	6,108	-2,894	88582,809	5,559	-70,647	
205	88582,834	6,108	-2,920	88582,859	5,559	-70,734	
