Source File:- C:\Cubus Projects\vi_F4016_Lastkollektiv\Data\Test Run - 21\Prüfablauf - (1 von 1)\F4016_1_Ueberlast_mittig_#2.qtpd
Cycle	Peak Time [s]	Zylinder 2 Weg  [mm] Peak	Zylinder 2 Kraft  [kN] Peak	Trough Time	Zylinder 2 Weg  [mm] Trough	Zylinder 2 Kraft  [kN] Trough	
1	154499,837	6,134	-1,157	154508,985	5,823	-37,028	
2	154509,000	5,826	-36,839	154509,021	5,820	-37,499	
3	154509,043	5,831	-36,256	154509,068	5,816	-38,047	
4	154509,092	5,835	-35,696	154509,117	5,812	-38,575	
5	154509,142	5,840	-35,085	154509,167	5,807	-39,159	
6	154509,190	5,844	-34,512	154509,216	5,803	-39,587	
7	154509,240	5,848	-33,933	154509,265	5,800	-40,155	
8	154509,290	5,853	-33,399	154509,315	5,796	-40,603	
9	154509,340	5,858	-32,803	154509,365	5,791	-41,235	
10	154509,390	5,862	-32,185	154509,415	5,786	-41,795	
11	154509,440	5,867	-31,554	154509,465	5,781	-42,438	
12	154509,490	5,872	-30,984	154509,515	5,776	-43,044	
13	154509,540	5,876	-30,376	154509,565	5,771	-43,756	
14	154509,590	5,881	-29,783	154509,615	5,766	-44,382	
15	154509,640	5,885	-29,191	154509,665	5,760	-45,103	
16	154509,689	5,890	-28,584	154509,714	5,755	-45,744	
17	154509,739	5,895	-27,966	154509,764	5,749	-46,392	
18	154509,790	5,899	-27,367	154509,814	5,744	-47,058	
19	154509,840	5,904	-26,701	154509,864	5,740	-47,743	
20	154509,889	5,910	-26,055	154509,914	5,734	-48,376	
21	154509,939	5,914	-25,474	154509,964	5,728	-49,105	
22	154509,989	5,920	-24,833	154510,014	5,724	-49,697	
23	154510,039	5,924	-24,230	154510,064	5,718	-50,437	
24	154510,089	5,929	-23,553	154510,114	5,712	-51,055	
25	154510,139	5,935	-22,938	154510,164	5,707	-51,771	
26	154510,189	5,939	-22,299	154510,214	5,703	-52,409	
27	154510,239	5,945	-21,676	154510,264	5,698	-53,120	
28	154510,289	5,950	-21,038	154510,314	5,693	-53,676	
29	154510,339	5,956	-20,436	154510,364	5,688	-54,324	
30	154510,389	5,959	-19,815	154510,414	5,682	-54,830	
31	154510,439	5,965	-19,183	154510,464	5,678	-55,516	
32	154510,489	5,971	-18,536	154510,514	5,673	-56,076	
33	154510,539	5,976	-17,908	154510,564	5,667	-56,766	
34	154510,589	5,982	-17,244	154510,614	5,663	-57,367	
35	154510,639	5,985	-16,675	154510,664	5,657	-58,052	
36	154510,689	5,992	-15,994	154510,714	5,653	-58,624	
37	154510,739	5,995	-15,418	154510,764	5,648	-59,376	
38	154510,789	6,002	-14,733	154510,814	5,642	-60,013	
39	154510,839	6,007	-14,109	154510,864	5,637	-60,678	
40	154510,889	6,011	-13,477	154510,914	5,632	-61,296	
41	154510,939	6,018	-12,692	154510,964	5,626	-61,995	
42	154510,989	6,029	-11,448	154511,014	5,622	-62,640	
43	154511,039	6,044	-9,754	154511,064	5,617	-63,297	
44	154511,089	6,058	-8,031	154511,114	5,612	-63,913	
45	154511,139	6,070	-6,617	154511,164	5,606	-64,639	
46	154511,189	6,081	-5,507	154511,214	5,600	-65,250	
47	154511,239	6,089	-4,701	154511,264	5,596	-65,977	
48	154511,289	6,096	-4,036	154511,314	5,590	-66,625	
49	154511,339	6,102	-3,368	154511,364	5,584	-67,364	
50	154511,389	6,106	-2,881	154511,414	5,580	-68,045	
51	154511,439	6,111	-2,266	154511,464	5,573	-68,812	
52	154511,489	6,116	-1,859	154511,514	5,566	-69,471	
53	154511,539	6,115	-1,923	154511,564	5,565	-69,777	
54	154511,589	6,114	-1,967	154511,614	5,565	-69,777	
55	154511,639	6,114	-2,047	154511,664	5,564	-69,933	
56	154511,689	6,113	-2,050	154511,714	5,562	-69,936	
57	154511,739	6,112	-2,164	154511,764	5,563	-70,023	
58	154511,789	6,112	-2,205	154511,814	5,562	-70,037	
59	154511,839	6,110	-2,253	154511,864	5,561	-70,188	
60	154511,889	6,110	-2,368	154511,914	5,562	-70,155	
61	154511,939	6,110	-2,341	154511,964	5,562	-70,189	
62	154511,989	6,110	-2,319	154512,014	5,560	-70,228	
63	154512,039	6,110	-2,341	154512,064	5,560	-70,316	
64	154512,089	6,108	-2,451	154512,114	5,559	-70,329	
65	154512,139	6,107	-2,492	154512,164	5,560	-70,346	
66	154512,189	6,108	-2,423	154512,214	5,559	-70,347	
67	154512,239	6,108	-2,514	154512,264	5,559	-70,440	
68	154512,289	6,108	-2,463	154512,314	5,560	-70,407	
69	154512,339	6,108	-2,560	154512,364	5,559	-70,463	
70	154512,389	6,108	-2,547	154512,414	5,558	-70,473	
71	154512,439	6,108	-2,520	154512,464	5,558	-70,541	
72	154512,489	6,107	-2,661	154512,514	5,557	-70,527	
73	154512,539	6,107	-2,557	154512,564	5,557	-70,553	
74	154512,589	6,106	-2,636	154512,614	5,558	-70,530	
75	154512,639	6,107	-2,598	154512,664	5,558	-70,571	
76	154512,689	6,105	-2,684	154512,714	5,557	-70,546	
77	154512,739	6,106	-2,672	154512,764	5,557	-70,611	
78	154512,789	6,106	-2,670	154512,814	5,557	-70,562	
79	154512,839	6,107	-2,632	154512,864	5,557	-70,636	
80	154512,889	6,106	-2,652	154512,914	5,556	-70,601	
81	154512,939	6,106	-2,674	154512,964	5,556	-70,627	
82	154512,989	6,106	-2,609	154513,014	5,556	-70,663	
83	154513,039	6,105	-2,700	154513,064	5,557	-70,594	
84	154513,089	6,106	-2,722	154513,114	5,556	-70,652	
85	154513,139	6,107	-2,624	154513,164	5,556	-70,692	
86	154513,189	6,106	-2,719	154513,214	5,556	-70,634	
87	154513,239	6,105	-2,830	154513,264	5,556	-70,742	
88	154513,289	6,104	-2,783	154513,314	5,556	-70,677	
89	154513,339	6,105	-2,755	154513,364	5,557	-70,760	
90	154513,389	6,104	-2,765	154513,414	5,557	-70,644	
91	154513,439	6,103	-2,891	154513,464	5,556	-70,723	
92	154513,489	6,104	-2,797	154513,514	5,556	-70,719	
93	154513,539	6,105	-2,810	154513,564	5,557	-70,737	
94	154513,589	6,104	-2,753	154513,614	5,557	-70,703	
95	154513,639	6,104	-2,885	154513,664	5,557	-70,729	
96	154513,689	6,103	-2,865	154513,714	5,555	-70,743	
97	154513,739	6,103	-2,846	154513,764	5,556	-70,761	
98	154513,789	6,104	-2,877	154513,814	5,557	-70,701	
99	154513,839	6,105	-2,846	154513,864	5,556	-70,806	
100	154513,889	6,105	-2,776	154513,914	5,556	-70,760	
101	154513,939	6,102	-2,909	154513,964	5,556	-70,781	
102	154513,989	6,104	-2,825	154514,014	5,555	-70,723	
103	154514,039	6,103	-2,850	154514,064	5,555	-70,807	
104	154514,089	6,103	-2,837	154514,114	5,555	-70,717	
105	154514,139	6,104	-2,817	154514,164	5,555	-70,799	
106	154514,189	6,103	-2,860	154514,214	5,555	-70,741	
107	154514,239	6,103	-2,915	154514,264	5,555	-70,842	
108	154514,289	6,103	-2,878	154514,314	5,555	-70,784	
