Source File:- C:\Cubus Projects\vi_F4016_Lastkollektiv\Data\Test Run - 68\Prüfablauf - (1 von 100)\F4016_1_Realkollektiv_1_#2.qtpd
Cycle	Peak Time [s]	Zylinder 2 Weg  [mm] Peak	Zylinder 2 Kraft  [kN] Peak	Trough Time	Zylinder 2 Weg  [mm] Trough	Zylinder 2 Kraft  [kN] Trough	
1	430655,459	6,176	-1,599	430664,631	5,890	-36,024	
2	430664,645	5,892	-35,791	430664,665	5,887	-36,433	
3	430664,689	5,896	-35,271	430664,714	5,882	-37,001	
4	430664,738	5,900	-34,692	430664,762	5,879	-37,456	
5	430664,787	5,905	-34,167	430664,811	5,875	-38,001	
6	430664,836	5,909	-33,558	430664,862	5,871	-38,494	
7	430664,886	5,913	-33,044	430664,911	5,869	-38,889	
8	430664,936	5,918	-32,441	430664,960	5,864	-39,389	
9	430664,985	5,922	-31,966	430665,010	5,859	-40,033	
10	430665,036	5,926	-31,361	430665,060	5,855	-40,550	
11	430665,085	5,930	-30,837	430665,110	5,850	-41,210	
12	430665,135	5,934	-30,238	430665,160	5,846	-41,765	
13	430665,185	5,939	-29,741	430665,210	5,840	-42,477	
14	430665,235	5,943	-29,126	430665,260	5,836	-43,062	
15	430665,285	5,947	-28,598	430665,310	5,831	-43,739	
16	430665,335	5,952	-27,965	430665,360	5,827	-44,327	
17	430665,385	5,956	-27,414	430665,410	5,821	-45,037	
18	430665,435	5,961	-26,769	430665,460	5,817	-45,623	
19	430665,485	5,966	-26,217	430665,510	5,811	-46,329	
20	430665,535	5,970	-25,524	430665,560	5,806	-46,937	
21	430665,585	5,975	-24,979	430665,610	5,801	-47,617	
22	430665,635	5,980	-24,296	430665,660	5,796	-48,187	
23	430665,685	5,985	-23,733	430665,710	5,791	-48,926	
24	430665,735	5,990	-23,010	430665,760	5,786	-49,510	
25	430665,785	5,994	-22,471	430665,810	5,781	-50,168	
26	430665,835	6,000	-21,761	430665,860	5,776	-50,778	
27	430665,885	6,004	-21,207	430665,909	5,771	-51,417	
28	430665,935	6,009	-20,525	430665,959	5,767	-51,892	
